Qsell,E,CVaR,rho
6.42,1.700219883628658e6,-1.8357310289504966e6,-1.800371519824705e6
6.43,1.7048874728384176e6,-1.8256759426616966e6,-1.7903703085066953e6
6.44,1.7095550620481777e6,-1.8156208563728957e6,-1.7803690971886849e6
6.45,1.7142226512579382e6,-1.8055657700840957e6,-1.770367885870675e6
6.46,1.7188902404676976e6,-1.795510683795295e6,-1.760366674552665e6
6.47,1.7235578296774582e6,-1.7854555975064966e6,-1.7503654632346572e6
6.48,1.728225418887218e6,-1.7754005112176964e6,-1.7403642519166472e6
6.49,1.7328930080969783e6,-1.7653454249288964e6,-1.7303630405986377e6
6.5,1.7375605973067374e6,-1.7552903386400968e6,-1.7203618292806284e6
6.51,1.742228186516498e6,-1.7452352523512973e6,-1.7103606179626193e6
6.52,1.746895775726258e6,-1.7351801660624966e6,-1.700359406644609e6
6.53,1.751563364936018e6,-1.7251250797736952e6,-1.6903581953265981e6
6.54,1.7562309541457787e6,-1.715075515495167e6,-1.6803624507987576e6
6.55,1.7608985433555387e6,-1.7050338949823685e6,-1.6703745705989893e6
6.56,1.7655661325652981e6,-1.694992274469568e6,-1.660386690399219e6
6.57,1.7702337217750587e6,-1.6849579023238216e6,-1.6504059860828328e6
6.58,1.7749013109848185e6,-1.6749373890910211e6,-1.6404390020902627e6
6.59,1.7795689001945786e6,-1.6649230162975893e6,-1.6304780971326677e6
6.6,1.7842364894043384e6,-1.6549231319455914e6,-1.620531535732092e6
6.61,1.788904078614099e6,-1.6449574153557066e6,-1.6106188004160083e6
6.62,1.7935716678238588e6,-1.6349971026525062e6,-1.6007114149477424e6
6.63,1.798239257033618e6,-1.6250379052666244e6,-1.590805133643622e6
6.64,1.8029068462433773e6,-1.615085390331424e6,-1.580905467965676e6
6.65,1.8075744354531378e6,-1.6051328753962254e6,-1.5710058022877318e6
6.66,1.8122420246628982e6,-1.595185914382646e6,-1.5611116349921906e6
6.67,1.8169096138726578e6,-1.585243804484245e6,-1.5512222703006756e6
6.68,1.8215772030824178e6,-1.5753016945858463e6,-1.5413329056091637e6
6.69,1.8262447922921781e6,-1.5653595846874465e6,-1.5314435409176503e6
6.7,1.8309123815019378e6,-1.555421509592959e6,-1.52155817068201e6
6.71,1.835579970711698e6,-1.5454961584481595e6,-1.5116853971565608e6
6.72,1.8402475599214577e6,-1.535578299045395e6,-1.5018200404557264e6
6.73,1.8449151491312182e6,-1.525663844109393e6,-1.4919580541769867e6
6.74,1.849582738340978e6,-1.5157493891733938e6,-1.4820960678982502e6
6.75,1.8542503275507381e6,-1.5058349342373938e6,-1.4722340816195125e6
6.76,1.858917916760498e6,-1.495920479301393e6,-1.4623720953407742e6
6.77,1.863585505970258e6,-1.486006024365393e6,-1.4525101090620365e6
6.78,1.8682530951800183e6,-1.4760915694293934e6,-1.442648122783299e6
6.79,1.8729206843897786e6,-1.4661771144933938e6,-1.432786136504562e6
6.8,1.8775882735995378e6,-1.4562634411048954e6,-1.422924923957851e6
6.81,1.882255862809298e6,-1.446358195624096e6,-1.413072055039762e6
6.82,1.8869234520190584e6,-1.4364699240285803e6,-1.4032359902681038e6
6.83,1.8915910412288185e6,-1.4266012312437817e6,-1.3934193085190556e6
6.84,1.8962586304385783e6,-1.416732667580768e6,-1.3836027546005745e6
6.85,1.900926219648338e6,-1.4068780297791667e6,-1.3737999872848918e6
6.86,1.9055938088580985e6,-1.397023391977566e6,-1.3639972199692095e6
6.87,1.9102613980678583e6,-1.3871687541759654e6,-1.3541944526535273e6
6.88,1.914928987277618e6,-1.3773141163743671e6,-1.344391685337847e6
6.89,1.9195965764873778e6,-1.3674594785727663e6,-1.3345889180221648e6
6.9,1.9242641656971378e6,-1.357604840771167e6,-1.324786150706484e6
6.91,1.9289317549068981e6,-1.3477502029695674e6,-1.3149833833908027e6
6.92,1.9335993441166575e6,-1.3378955651679668e6,-1.3051806160751204e6
